id,phone,ccard,web,visit,money,beacon,hann,mass,newbury,sweather,ktop,kdress,blouse,jacket,crpant,cspant,shirt,dress,suit,outwear,jewel,fashion,lwear,coll,omon,tmon,smon,gmp,mdown,promomail,promoresp,produnif,dbetween,resp
9955600066402,0,0,0,2,368.46,0.0,0.0,368.46,0.0,0.14300000000000002,0.0,0.0,0.23800000000000002,0.0,0.198,0.0,0.151,0.0,0.0,0.0,0.0,0.016,0.024,0.23,0.0,0.0,0.0,60.0,8.0,5,0,31.81,111.0,0
9955600073501,1,1,0,4,258.0,0.0,0.0,258.0,0.0,0.198,0.122,0.0,0.0,0.0,0.13699999999999998,0.107,0.0,0.13699999999999998,0.0,0.0,0.0,0.0,0.015,0.282,55.99,138.0,258.0,54.0,33.0,4,2,32.72,43.5,1
9955600076313,0,0,0,2,77.0,0.0,0.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,11.0,4,0,100.0,68.6,0
9955600078045,1,1,0,8,846.06,0.0,0.0,846.06,0.0,0.39799999999999996,0.0,0.052000000000000005,0.063,0.209,0.17800000000000002,0.0,0.052000000000000005,0.0,0.0,0.0,0.006,0.031,0.01,0.0,0.0,104.94,373.87,43.0,29.0,9,6,23.27,26.96,0
9955600078517,1,0,0,1,87.44,0.0,0.0,87.44,0.0,0.204,0.204,0.0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.17300000000000001,0.0,0.0,0.0,0.0,87.44,87.44,22.0,42.0,0,0,28.52,24.5,0
9955600079035,1,0,0,2,120.0,0.0,58.0,62.0,0.0,0.0,0.5710000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.408,0.0,0.0,62.0,62.0,120.0,47.0,41.0,0,0,48.84,72.5,0
9955600088723,1,1,0,1,782.08,0.0,0.0,782.08,0.0,0.122,0.0,0.0,0.0,0.5820000000000001,0.122,0.0,0.17300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.08,66.0,10.0,4,0,39.51,36.25,0
9955600089274,1,0,0,1,79.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,19.0,4,1,100.0,149.0,0
9955600093031,0,0,0,1,318.5,0.0,0.0,318.5,0.0,0.162,0.0,0.0,0.0,0.209,0.122,0.0,0.0,0.17600000000000002,0.0,0.0,0.0,0.0,0.0,0.331,0.0,0.0,0.0,68.0,7.0,3,0,50.42,264.0,0
9955600093053,1,1,0,12,1663.46,0.0,0.0,922.36,741.1,0.26,0.042,0.01,0.063,0.115,0.25,0.031,0.146,0.0,0.0,0.0,0.021,0.042,0.021,0.0,237.18,536.57,936.97,53.0,23.0,11,7,16.97,17.53,1
